,Intercept,bedrooms,bathrooms,age,elevation,"neighborhood[South Scottsdale]:sqft:year[Period('2009', 'A-DEC')]","neighborhood[South Scottsdale]:sqft:year[Period('2010', 'A-DEC')]","neighborhood[South Scottsdale]:sqft:year[Period('2011', 'A-DEC')]","neighborhood[South Scottsdale]:sqft:year[Period('2012', 'A-DEC')]","neighborhood[South Scottsdale]:sqft:year[Period('2013', 'A-DEC')]","neighborhood[South Scottsdale]:sqft:year[Period('2014', 'A-DEC')]","neighborhood[South Scottsdale]:sqft:year[Period('2015', 'A-DEC')]","neighborhood[South Scottsdale]:sqft:year[Period('2016', 'A-DEC')]"
Intercept,1940741.77002,-21133.8812359,-4546.52340821,-371.315625948,-4976.8570287,52.8239235718,47.7785833891,14.4326261828,28.0815552498,37.5254993134,32.2553004616,26.6150402706,31.9771086433
bedrooms,-21133.8812359,3114.47038507,-1972.46095288,-50.148719198,55.1063973328,-0.62103181983,-1.49324859949,-1.00729944438,-1.39832405633,-1.60758786405,-1.32971506465,-1.18710736542,-1.72802623192
bathrooms,-4546.52340821,-1972.46095288,5935.80936391,37.6353100485,-6.23025543662,-1.33044763124,-0.803450466722,-1.44154592049,-0.732201125157,-0.670311550327,-1.06470188906,-0.434217949972,-0.382853359299
age,-371.315625948,-50.148719198,37.6353100485,5.74230041955,0.398140359931,0.0152592456579,0.0351375424553,0.00708341791252,0.0285705339185,0.0281348277001,0.0162404267019,0.0180969149707,0.0250634053329
elevation,-4976.8570287,55.1063973328,-6.23025543662,0.398140359931,12.9521906694,-0.147239517581,-0.133835043345,-0.0408980293442,-0.0816990851521,-0.106008891047,-0.0900948818694,-0.0776240491349,-0.092186866241
"neighborhood[South Scottsdale]:sqft:year[Period('2009', 'A-DEC')]",52.8239235718,-0.62103181983,-1.33044763124,0.0152592456579,-0.147239517581,0.0873674287589,0.004849660973,0.00366902177055,0.00427269783786,0.00454721123719,0.00434706489902,0.00382617952138,0.00446896021908
"neighborhood[South Scottsdale]:sqft:year[Period('2010', 'A-DEC')]",47.7785833891,-1.49324859949,-0.803450466722,0.0351375424553,-0.133835043345,0.004849660973,0.0267020768235,0.00387981834762,0.00450648068234,0.00478952354501,0.00453929058691,0.00399342898242,0.00477257036637
"neighborhood[South Scottsdale]:sqft:year[Period('2011', 'A-DEC')]",14.4326261828,-1.00729944438,-1.44154592049,0.00708341791252,-0.0408980293442,0.00366902177055,0.00387981834762,0.0172569338249,0.00381852995094,0.00393588658087,0.00388892840215,0.00334911920423,0.00402467121184
"neighborhood[South Scottsdale]:sqft:year[Period('2012', 'A-DEC')]",28.0815552498,-1.39832405633,-0.732201125157,0.0285705339185,-0.0816990851521,0.00427269783786,0.00450648068234,0.00381852995094,0.00907904592992,0.00444975176,0.00427089555922,0.00376299241203,0.00451528182282
"neighborhood[South Scottsdale]:sqft:year[Period('2013', 'A-DEC')]",37.5254993134,-1.60758786405,-0.670311550327,0.0281348277001,-0.106008891047,0.00454721123719,0.00478952354501,0.00393588658087,0.00444975176,0.0105318823234,0.00448060384736,0.00394198864196,0.00474066639615
"neighborhood[South Scottsdale]:sqft:year[Period('2014', 'A-DEC')]",32.2553004616,-1.32971506465,-1.06470188906,0.0162404267019,-0.0900948818694,0.00434706489902,0.00453929058691,0.00388892840215,0.00427089555922,0.00448060384736,0.00747834254339,0.00377724396172,0.00453168092864
"neighborhood[South Scottsdale]:sqft:year[Period('2015', 'A-DEC')]",26.6150402706,-1.18710736542,-0.434217949972,0.0180969149707,-0.0776240491349,0.00382617952138,0.00399342898242,0.00334911920423,0.00376299241203,0.00394198864196,0.00377724396172,0.00425189915188,0.00401290040522
"neighborhood[South Scottsdale]:sqft:year[Period('2016', 'A-DEC')]",31.9771086433,-1.72802623192,-0.382853359299,0.0250634053329,-0.092186866241,0.00446896021908,0.00477257036637,0.00402467121184,0.00451528182282,0.00474066639615,0.00453168092864,0.00401290040522,0.00583169904401
