neighborhood,regular
PACIFICA,0.84183660677994587
EMERYVILLE,1.2075900987371357
OAKLAND,1.1131116088435329
BERKELEY,1.553362726263452
WALNUT CREEK,1.4010856908304519
CASTRO VALLEY,0.62284359572612891
FREMONT,0.7876861575663221
SOUTH SAN FRANCISCO,0.37046853330368829
LIVERMORE,0.37020391449719869
PLEASANTON,0.73813618113605961
DUBLIN,0.6390019911612268
ALAMEDA,0.99661167213961688
BAY AND OCEAN,1.0040412697990662
HAYWARD,0.51910834282240836
UNION CITY,0.68269319622388502
SAN LEANDRO,0.60227217823016732
NEWARK,0.83458982313232055
ALBANY,1.7287012808257805
SAN LORENZO,0.76771750035177244
MILPITAS,0.67680533230486573
